iter	RMSE
162	0.4513926943
163	0.4498201716
164	0.4488843829
165	0.4466376512
166	0.444808981
167	0.4435392994
168	0.4419238895
169	0.4405267128
170	0.4388013826
171	0.4372455488
172	0.4359678184
173	0.4342568183
174	0.4335344985
175	0.4318532816
176	0.4307184964
177	0.4293531802
178	0.428339455
179	0.4275590809
180	0.4265707575
181	0.4250712155
182	0.4245014597
183	0.4233685136
184	0.4219274109
185	0.4204598161
186	0.4197147656
187	0.41899317
188	0.41724474
189	0.4168131232
190	0.4157999971
191	0.4141247796
192	0.4128902709
193	0.4111162913
194	0.4102291569
195	0.4092600886
196	0.4083911745
197	0.4069956676
198	0.4065263449
199	0.4050706538
200	0.4046317208
201	0.4036274438
202	0.4022786105
203	0.401398361
204	0.3997889521
205	0.3989021735
206	0.3979911489
207	0.3967702832
208	0.3959534599
209	0.3947169788
210	0.3941498494
211	0.3930064639
212	0.3918696178
213	0.3909745673
214	0.3905047762
215	0.389636449
216	0.3889889522
217	0.3878041581
218	0.3860801763
219	0.385383177
220	0.3848134849
221	0.3839008085
222	0.3832999545
223	0.3826761137
224	0.3810799969
225	0.3796015712
226	0.378949923
227	0.3777006578
228	0.3769822956
229	0.3758199481
230	0.3752383303
231	0.3740427941
232	0.3736454502
233	0.372434481
234	0.3712159997
235	0.3704573884
236	0.3698367284
237	0.3686342501
238	0.3677318106
239	0.3669878137
240	0.3655373316
241	0.3642766112
242	0.3637896182
243	0.36219605
244	0.3617483119
245	0.3611329836
246	0.360191081
247	0.3596278988
248	0.3581704805
249	0.3564915022
250	0.355039844
251	0.3542297461
252	0.3535913748
253	0.3528092353
254	0.352168594
255	0.3515971524
256	0.35018668
257	0.3495945436
258	0.3490292128
259	0.34836009
260	0.3477374748
261	0.3457965296
262	0.3442771861
263	0.3431385892
264	0.3413871981
265	0.3403347716
266	0.3398922023
267	0.3387142541
268	0.3375303879
269	0.3369539168
270	0.3360787398
271	0.334559057
272	0.333316006
273	0.3326932198
274	0.3321922276
275	0.3307765747
276	0.3300311919
277	0.3293732209
278	0.327986464
279	0.3274419453
280	0.3270555257
281	0.3256615956
282	0.3250388269
283	0.3239100355
284	0.323374086
285	0.3221133277
286	0.3209370092
287	0.3203248815
288	0.3196671966
289	0.31886292
290	0.3176967364
291	0.3164414352
292	0.3155518954
293	0.3151075688
294	0.3144962177
295	0.3140370709
296	0.3134951627
297	0.3130059271
298	0.3124684377
299	0.3116579461
300	0.3112097631
301	0.3108049349
302	0.3101194926
303	0.3096893571
304	0.3089030347
305	0.3077509055
306	0.3059552739
307	0.3047718092
308	0.3044342653
309	0.3040345231
310	0.3027296857
311	0.3022676744
312	0.3017506863
313	0.301354394
314	0.3002772663
315	0.2999458039
316	0.2996790176
317	0.2994165074
318	0.2990550806
319	0.2979470437
320	0.2964860296
321	0.2955704183
322	0.2952089468
323	0.2944931956
324	0.2940976887
325	0.2930490256
326	0.2926107688
327	0.2923082183
328	0.2913254985
329	0.2909448608
330	0.2905224925
331	0.2900224441
332	0.2895683551
333	0.2892169747
334	0.2879039781
335	0.2876480216
336	0.2873295363
337	0.285360807
338	0.2840671762
339	0.2836157592
340	0.2832941879
341	0.2826719728
342	0.2819134903
343	0.2808678241
344	0.280507519
345	0.2802227867
346	0.279027475
347	0.278699221
348	0.2781887328
349	0.2770812113
350	0.2767119228
351	0.2765110707
352	0.2753321802
353	0.2748821391
354	0.2738949614
355	0.2735904987
356	0.2717690214
357	0.2714307326
358	0.2700998121
359	0.2698900418
360	0.269085792
361	0.2680975038
362	0.2670385148
363	0.2662488702
364	0.266071869
365	0.2650217096
366	0.2642353823
367	0.263908611
368	0.2630025165
369	0.2623087803
370	0.2618478692
371	0.261628121
372	0.2611769276
373	0.2606756069
374	0.260420918
375	0.2599827456
376	0.2596145988
377	0.2582584898
378	0.2577710426
379	0.2575720983
380	0.257375219
381	0.2570296782
382	0.2568277757
383	0.256047064
384	0.2558563488
385	0.2557091652
386	0.2555447442
387	0.2545765925
388	0.2539300768
389	0.2534509436
390	0.2530330239
391	0.2518286881
392	0.2508909878
393	0.2506958241
394	0.2505363893
395	0.2497354015
396	0.2482757057
397	0.2475824935
398	0.247414638
399	0.2472140637
400	0.2470509866
401	0.2469074883
402	0.2459792901
403	0.2456500056
404	0.2452578695
405	0.2443515963
406	0.2441942008
407	0.2431771756
408	0.2425234748
409	0.2423912383
410	0.2415715153
411	0.2410069382
412	0.2401056253
413	0.2399545369
414	0.2386482558
415	0.2382332971
416	0.2378135397
417	0.2369478095
418	0.2367513477
419	0.2359793803
420	0.2354851377
421	0.2350821928
422	0.2348275056
423	0.2345702414
424	0.2340865761
425	0.2335909456
426	0.2332523337
427	0.2328781443
428	0.2326612756
429	0.2323845599
430	0.2315997775
431	0.2306846846
432	0.2297711292
433	0.2296074134
434	0.2289108601
435	0.2278298473
436	0.2272352074
437	0.2267829162
438	0.2266100629
439	0.226433829
440	0.2263172774
441	0.2254151221
442	0.2244163963
443	0.2239900867
444	0.2231003117
445	0.2228613525
446	0.2219292782
447	0.2216401605
448	0.2213786027
449	0.2200741954
450	0.219460871
451	0.2185745283
452	0.2183749995
453	0.218024411
454	0.2179255505
455	0.2178199486
456	0.217662903
457	0.2175727056
458	0.2174838239
459	0.2172464005
460	0.2164736529
461	0.2162323195
462	0.2154231471
463	0.2142421752
464	0.2140442884
465	0.2139267736
466	0.2137448148
467	0.2123388193
468	0.2111218514
469	0.2104970879
470	0.2104033959
471	0.2095249741
472	0.2092144349
473	0.2090822168
474	0.208957775
475	0.2087027938
476	0.2079468947
477	0.2072008809
478	0.2062064923
479	0.2060971821
480	0.2059623438
481	0.2051368471
482	0.2042258759
483	0.2035032392
484	0.2029089944
485	0.2018769432
486	0.200924454
487	0.2004721742
488	0.200195429
489	0.1999356182
490	0.1998192094
491	0.1997047555
492	0.1994568475
493	0.1993375055
494	0.198611603
495	0.197819853
496	0.1976735543
497	0.1970280143
498	0.1967445558
499	0.1966432021
500	0.1965316585
501	0.1962941058
502	0.196178747
503	0.1952891579
504	0.1951642079
505	0.194503684
506	0.1943002654
507	0.1940528697
508	0.1939561773
509	0.1937397355
510	0.1933894711
511	0.1932992682
512	0.1932089987
513	0.1922947356
514	0.1918663272
515	0.1916494947
516	0.191432909
517	0.1906933685
518	0.1905508976
519	0.1902963772
520	0.1900881246
521	0.1898147265
522	0.1889584257
523	0.1880954727
524	0.1879955363
525	0.1871582925
526	0.1869315475
527	0.1867967377
528	0.1860472737
529	0.1857557238
530	0.1856685385
531	0.1849980135
532	0.1842822729
533	0.1841513972
534	0.1839370324
535	0.1838635804
536	0.1833308994
537	0.1832330087
538	0.1823684056
539	0.1820535867
540	0.1819662091
541	0.1813151114
542	0.180619565
543	0.1804997559
544	0.18024193
545	0.180100142
546	0.1797937584
547	0.1794008591
548	0.1785813242
549	0.1782299665
550	0.1778912939
