iter	RMSE
0	0.9886085722
1	0.9772811634
2	0.9686736922
3	0.9585751867
4	0.9484881055
5	0.9393671876
6	0.9306054204
7	0.9214696076
8	0.9112515492
9	0.9042824902
10	0.8953032644
11	0.8895203546
12	0.8805978656
13	0.8741422556
14	0.8653144494
15	0.8570013329
16	0.8512790045
17	0.8453216051
18	0.838015621
19	0.8317401036
20	0.823490711
21	0.8173939744
22	0.8097765066
23	0.8049119796
24	0.7982282434
25	0.7907282312
26	0.7835709653
27	0.7792087876
28	0.7742638015
29	0.7688602788
30	0.7620206971
31	0.7556501428
32	0.7512020819
33	0.7460737719
34	0.7398762386
35	0.735450893
36	0.7306130092
37	0.7259579765
38	0.7209526844
39	0.7171551569
40	0.7121705461
41	0.7099847604
42	0.7062183569
43	0.7007681609
44	0.6974703419
45	0.692423147
46	0.6871827959
47	0.683486644
48	0.6780333759
49	0.6743319486
50	0.6699282048
51	0.6668503226
52	0.6636510131
53	0.6604969428
54	0.6576564892
55	0.653056428
56	0.6511258416
57	0.6477939523
58	0.6456111195
59	0.6428189137
60	0.6395016333
61	0.6361661256
62	0.6325184828
63	0.6301036111
64	0.6259637343
65	0.6230151327
66	0.6201388517
67	0.6169005755
68	0.6152307892
69	0.6119582917
70	0.609517745
71	0.6066509225
72	0.6028969847
73	0.6010643103
74	0.5981242921
75	0.5948156194
76	0.5929105004
77	0.5897360715
78	0.5880966089
79	0.5859408799
80	0.5833424847
81	0.5813990544
82	0.5780177244
83	0.5774103024
84	0.5748248505
85	0.5726337732
86	0.5702848571
87	0.5677747
88	0.564861581
89	0.5620827001
90	0.5602970264
91	0.5575304106
92	0.5565131775
93	0.554853204
94	0.5529886916
95	0.5515638283
96	0.5492822797
97	0.5485085566
98	0.5463320766
99	0.5446758333
100	0.5441071091
101	0.5413817396
102	0.5400338275
103	0.5376959563
104	0.5361313053
105	0.5355505083
106	0.5328949165
107	0.5317281357
108	0.5299607816
109	0.5289859905
110	0.5259601042
111	0.5255329988
112	0.523532261
113	0.5232631775
114	0.5218499772
115	0.5204589749
116	0.5184043712
117	0.5166153557
118	0.514858529
119	0.5130856042
120	0.5122243899
121	0.5102780621
122	0.5080748466
123	0.5072016336
124	0.5059575591
125	0.5036674096
126	0.5029054492
127	0.5017035863
128	0.4996817622
129	0.4972555437
130	0.4959240438
131	0.4940965983
132	0.4917776211
133	0.491208624
134	0.4889157697
135	0.4871450716
136	0.4862674138
137	0.4836853382
138	0.4826670023
139	0.4806251609
140	0.4793789468
141	0.4779282701
142	0.4769119221
143	0.4749441046
144	0.4740114226
145	0.4734440839
146	0.4722816977
147	0.4710266624
148	0.4696070925
149	0.4669398551
150	0.4653771773
151	0.4640215753
152	0.4628326996
153	0.4623490294
154	0.4605487787
155	0.4593537999
156	0.4582407084
157	0.4573155194
158	0.4558904524
159	0.454882468
160	0.4538747047
161	0.4525222897
